#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
574640	1997-01-06 00:00:00	1997	1997	1	11	11	11
574640	1997-01-07 00:00:00	1997	1997	1	10	10	10
574640	1997-01-08 00:00:00	1997	1997	1	10	10	10
574640	1997-01-09 00:00:00	1997	1997	1	9	9	9
574640	1997-01-10 00:00:00	1997	1997	1	9	9	9
574640	1997-01-11 00:00:00	1997	1997	1	9	9	9
574640	1997-01-12 00:00:00	1997	1997	1	9	9	9
574640	1997-01-13 00:00:00	1997	1997	1	10	10	10
574640	1997-01-14 00:00:00	1997	1997	1	8	8	8
574640	1997-01-15 00:00:00	1997	1997	1	8	8	8
574640	1997-01-16 00:00:00	1997	1997	1	8	8	8
574640	1997-01-17 00:00:00	1997	1997	1	8	8	8
574640	1997-01-18 00:00:00	1997	1997	1	8	8	8
574640	1997-01-19 00:00:00	1997	1997	1	8	8	8
574640	1997-01-20 00:00:00	1997	1997	1	8	8	8
574640	1997-01-21 00:00:00	1997	1997	1	7	7	7
574640	1997-01-22 00:00:00	1997	1997	1	7	7	7
574640	1997-01-23 00:00:00	1997	1997	1	7	7	7
574640	1997-01-24 00:00:00	1997	1997	1	8	8	8
574640	1997-01-25 00:00:00	1997	1997	1	8	8	8
574640	1997-01-26 00:00:00	1997	1997	1	8	8	8
574640	1997-01-27 00:00:00	1997	1997	1	7	7	7
574640	1997-01-28 00:00:00	1997	1997	1	7	7	7
574640	1997-01-29 00:00:00	1997	1997	1	7	7	7
574640	1997-01-30 00:00:00	1997	1997	1	7	7	7
574640	1997-01-31 00:00:00	1997	1997	1	7	7	7
574640	1997-02-01 00:00:00	1997	1997	2	7	7	7
574640	1997-02-02 00:00:00	1997	1997	2	7	7	7
574640	1997-02-03 00:00:00	1997	1997	2	6	6	6
574640	1997-02-04 00:00:00	1997	1997	2	6	6	6
574640	1997-02-05 00:00:00	1997	1997	2	6	6	6
574640	1997-02-06 00:00:00	1997	1997	2	6	6	6
574640	1997-02-07 00:00:00	1997	1997	2	7	7	7
574640	1997-02-08 00:00:00	1997	1997	2	7	7	7
574640	1997-02-09 00:00:00	1997	1997	2	7	7	7
574640	1997-02-10 00:00:00	1997	1997	2	7	7	7
574640	1997-02-11 00:00:00	1997	1997	2	18	18	18
574640	1997-02-12 00:00:00	1997	1997	2	24	24	24
574640	1997-02-13 00:00:00	1997	1997	2	30	30	30
574640	1997-02-14 00:00:00	1997	1997	2	36	36	36
574640	1997-02-15 00:00:00	1997	1997	2	34	34	34
574640	1997-02-16 00:00:00	1997	1997	2	30	30	30
574640	1997-02-17 00:00:00	1997	1997	2	24	24	24
574640	1997-02-18 00:00:00	1997	1997	2	24	24	24
574640	1997-02-19 00:00:00	1997	1997	2	26	26	26
574640	1997-02-20 00:00:00	1997	1997	2	29	29	29
574640	1997-02-21 00:00:00	1997	1997	2	30	30	30
574640	1997-02-22 00:00:00	1997	1997	2	31	31	31
574640	1997-02-23 00:00:00	1997	1997	2	33	33	33
574640	1997-02-24 00:00:00	1997	1997	2	36	36	36
574640	1997-02-25 00:00:00	1997	1997	2	36	36	36
574640	1997-02-26 00:00:00	1997	1997	2	36	36	36
574640	1997-02-27 00:00:00	1997	1997	2	36	36	36
574640	1997-02-28 00:00:00	1997	1997	2	36	36	36
574640	1997-03-01 00:00:00	1997	1997	3	36	36	36
574640	1997-03-02 00:00:00	1997	1997	3	35	35	35
574640	1997-03-03 00:00:00	1997	1997	3	34	34	34
574640	1997-03-04 00:00:00	1997	1997	3	32	32	32
574640	1997-03-05 00:00:00	1997	1997	3	30	30	30
574640	1997-03-06 00:00:00	1997	1997	3	29	29	29
574640	1997-03-07 00:00:00	1997	1997	3	27	27	27
574640	1997-03-08 00:00:00	1997	1997	3	27	27	27
574640	1997-03-09 00:00:00	1997	1997	3	25	25	25
574640	1997-03-10 00:00:00	1997	1997	3	25	25	25
574640	1997-03-11 00:00:00	1997	1997	3	24	24	24
574640	1997-03-12 00:00:00	1997	1997	3	23	23	23
574640	1997-03-13 00:00:00	1997	1997	3	21	21	21
574640	1997-03-14 00:00:00	1997	1997	3	19	19	19
574640	1997-03-15 00:00:00	1997	1997	3	18	18	18
574640	1997-03-16 00:00:00	1997	1997	3	22	22	22
574640	1997-03-17 00:00:00	1997	1997	3	35	35	35
574640	1997-03-18 00:00:00	1997	1997	3	35	35	35
574640	1997-03-19 00:00:00	1997	1997	3	33	33	33
574640	1997-03-20 00:00:00	1997	1997	3	33	33	33
574640	1997-03-21 00:00:00	1997	1997	3	32	32	32
574640	1997-03-22 00:00:00	1997	1997	3	32	32	32
574640	1997-03-23 00:00:00	1997	1997	3	30	30	30
574640	1997-03-24 00:00:00	1997	1997	3	28	28	28
574640	1997-03-25 00:00:00	1997	1997	3	26	26	26
574640	1997-03-26 00:00:00	1997	1997	3	25	25	25
574640	1997-03-27 00:00:00	1997	1997	3	24	24	24
574640	1997-03-28 00:00:00	1997	1997	3	23	23	23
574640	1997-03-29 00:00:00	1997	1997	3	22	22	22
574640	1997-03-30 00:00:00	1997	1997	3	22	22	22
574640	1997-03-31 00:00:00	1997	1997	3	22	22	22
574640	1997-04-01 00:00:00	1997	1997	4	22	22	22
574640	1997-04-02 00:00:00	1997	1997	4	22	22	22
574640	1997-04-03 00:00:00	1997	1997	4	21	21	21
574640	1997-04-04 00:00:00	1997	1997	4	20	20	20
574640	1997-04-05 00:00:00	1997	1997	4	18	18	18
574640	1997-04-06 00:00:00	1997	1997	4	23	23	23
574640	1997-04-07 00:00:00	1997	1997	4	22	22	22
574640	1997-04-08 00:00:00	1997	1997	4	22	22	22
574640	1997-04-09 00:00:00	1997	1997	4	22	22	22
574640	1997-04-10 00:00:00	1997	1997	4	21	21	21
574640	1997-04-11 00:00:00	1997	1997	4	21	21	21
574640	1997-04-12 00:00:00	1997	1997	4	20	20	20
574640	1997-04-13 00:00:00	1997	1997	4	19	19	19
574640	1997-04-14 00:00:00	1997	1997	4	19	19	19
574640	1997-04-15 00:00:00	1997	1997	4	17	17	17
574640	1997-04-16 00:00:00	1997	1997	4	17	17	17
574640	1997-04-17 00:00:00	1997	1997	4	16	16	16
574640	1997-04-18 00:00:00	1997	1997	4	16	16	16
574640	1997-04-19 00:00:00	1997	1997	4	15	15	15
574640	1997-04-20 00:00:00	1997	1997	4	15	15	15
574640	1997-04-21 00:00:00	1997	1997	4	15	15	15
574640	1997-04-22 00:00:00	1997	1997	4	14	14	14
574640	1997-04-23 00:00:00	1997	1997	4	14	14	14
574640	1997-04-24 00:00:00	1997	1997	4	13	13	13
574640	1997-04-25 00:00:00	1997	1997	4	13	13	13
574640	1997-04-26 00:00:00	1997	1997	4	12	12	12
574640	1997-04-27 00:00:00	1997	1997	4	12	12	12
574640	1997-04-28 00:00:00	1997	1997	4	11	11	11
574640	1997-04-29 00:00:00	1997	1997	4	11	11	11
574640	1997-04-30 00:00:00	1997	1997	4	11	11	11
574640	1997-05-01 00:00:00	1997	1997	5	11	11	11
574640	1997-05-02 00:00:00	1997	1997	5	11	11	11
574640	1997-05-03 00:00:00	1997	1997	5	11	11	11
574640	1997-05-04 00:00:00	1997	1997	5	12	12	12
574640	1997-05-05 00:00:00	1997	1997	5	12	12	12
574640	1997-05-06 00:00:00	1997	1997	5	12	12	12
574640	1997-05-07 00:00:00	1997	1997	5	12	12	12
574640	1997-05-08 00:00:00	1997	1997	5	13	13	13
574640	1997-05-09 00:00:00	1997	1997	5	12	12	12
574640	1997-05-10 00:00:00	1997	1997	5	12	12	12
574640	1997-05-11 00:00:00	1997	1997	5	12	12	12
574640	1997-05-12 00:00:00	1997	1997	5	12	12	12
574640	1997-05-13 00:00:00	1997	1997	5	12	12	12
574640	1997-05-14 00:00:00	1997	1997	5	12	12	12
574640	1997-05-15 00:00:00	1997	1997	5	11	11	11
574640	1997-05-16 00:00:00	1997	1997	5	11	11	11
574640	1997-05-17 00:00:00	1997	1997	5	10	10	10
574640	1997-05-18 00:00:00	1997	1997	5	10	10	10
574640	1997-05-19 00:00:00	1997	1997	5	13	13	13
574640	1997-05-20 00:00:00	1997	1997	5	14	14	14
574640	1997-05-21 00:00:00	1997	1997	5	14	14	14
574640	1997-05-22 00:00:00	1997	1997	5	14	14	14
574640	1997-05-23 00:00:00	1997	1997	5	14	14	14
574640	1997-05-24 00:00:00	1997	1997	5	14	14	14
574640	1997-05-25 00:00:00	1997	1997	5	14	14	14
574640	1997-05-26 00:00:00	1997	1997	5	14	14	14
574640	1997-05-27 00:00:00	1997	1997	5	13	13	13
574640	1997-05-28 00:00:00	1997	1997	5	13	13	13
574640	1997-05-29 00:00:00	1997	1997	5	12	12	12
574640	1997-05-30 00:00:00	1997	1997	5	12	12	12
574640	1997-05-31 00:00:00	1997	1997	5	11	11	11
574640	1997-06-01 00:00:00	1997	1997	6	11	11	11
574640	1997-06-02 00:00:00	1997	1997	6	11	11	11
574640	1997-06-03 00:00:00	1997	1997	6	11	11	11
574640	1997-06-04 00:00:00	1997	1997	6	10	10	10
574640	1997-06-05 00:00:00	1997	1997	6	10	10	10
574640	1997-06-06 00:00:00	1997	1997	6	10	10	10
574640	1997-06-07 00:00:00	1997	1997	6	9	9	9
574640	1997-06-08 00:00:00	1997	1997	6	9	9	9
574640	1997-06-09 00:00:00	1997	1997	6	8	8	8
574640	1997-06-10 00:00:00	1997	1997	6	8	8	8
574640	1997-06-11 00:00:00	1997	1997	6	8	8	8
574640	1997-06-12 00:00:00	1997	1997	6	8	8	8
574640	1997-06-13 00:00:00	1997	1997	6	8	8	8
574640	1997-06-14 00:00:00	1997	1997	6	7	7	7
574640	1997-06-15 00:00:00	1997	1997	6	7	7	7
574640	1997-06-16 00:00:00	1997	1997	6	6	6	6
574640	1997-06-17 00:00:00	1997	1997	6	6	6	6
574640	1997-06-18 00:00:00	1997	1997	6	6	6	6
574640	1997-06-19 00:00:00	1997	1997	6	6	6	6
574640	1997-06-20 00:00:00	1997	1997	6	6	6	6
574640	1997-06-21 00:00:00	1997	1997	6	6	6	6
574640	1997-06-22 00:00:00	1997	1997	6	7	7	7
574640	1997-06-23 00:00:00	1997	1997	6	7	7	7
574640	1997-06-24 00:00:00	1997	1997	6	7	7	7
574640	1997-06-25 00:00:00	1997	1997	6	6	6	6
574640	1997-06-26 00:00:00	1997	1997	6	6	6	6
574640	1997-06-27 00:00:00	1997	1997	6	6	6	6
574640	1997-06-28 00:00:00	1997	1997	6	6	6	6
574640	1997-06-29 00:00:00	1997	1997	6	6	6	6
574640	1997-06-30 00:00:00	1997	1997	6	6	6	6
574640	1997-07-01 00:00:00	1997	1997	7	7	7	7
574640	1997-07-02 00:00:00	1997	1997	7	7	7	7
574640	1997-07-03 00:00:00	1997	1997	7	7	7	7
574640	1997-07-04 00:00:00	1997	1997	7	7	7	7
574640	1997-07-05 00:00:00	1997	1997	7	6	6	6
574640	1997-07-06 00:00:00	1997	1997	7	6	6	6
574640	1997-07-07 00:00:00	1997	1997	7	6	6	6
574640	1997-07-08 00:00:00	1997	1997	7	6	6	6
574640	1997-07-09 00:00:00	1997	1997	7	6	6	6
574640	1997-07-10 00:00:00	1997	1997	7	6	6	6
574640	1997-07-11 00:00:00	1997	1997	7	6	6	6
574640	1997-07-12 00:00:00	1997	1997	7	5	5	5
574640	1997-07-13 00:00:00	1997	1997	7	5	5	5
574640	1997-07-14 00:00:00	1997	1997	7	5	5	5
574640	1997-07-15 00:00:00	1997	1997	7	5	5	5
574640	1997-07-16 00:00:00	1997	1997	7	5	5	5
574640	1997-07-17 00:00:00	1997	1997	7	8	8	8
574640	1997-07-18 00:00:00	1997	1997	7	9	9	9
574640	1997-07-19 00:00:00	1997	1997	7	11	11	11
574640	1997-07-20 00:00:00	1997	1997	7	10	10	10
574640	1997-07-21 00:00:00	1997	1997	7	9	9	9
574640	1997-07-22 00:00:00	1997	1997	7	9	9	9
574640	1997-07-23 00:00:00	1997	1997	7	9	9	9
574640	1997-07-24 00:00:00	1997	1997	7	9	9	9
574640	1997-07-25 00:00:00	1997	1997	7	12	12	12
574640	1997-07-26 00:00:00	1997	1997	7	15	15	15
574640	1997-07-27 00:00:00	1997	1997	7	16	16	16
574640	1997-07-28 00:00:00	1997	1997	7	16	16	16
574640	1997-07-29 00:00:00	1997	1997	7	16	16	16
574640	1997-07-30 00:00:00	1997	1997	7	14	14	14
574640	1997-07-31 00:00:00	1997	1997	7	13	13	13
574640	1997-08-01 00:00:00	1997	1997	8	13	13	13
574640	1997-08-02 00:00:00	1997	1997	8	12	12	12
574640	1997-08-03 00:00:00	1997	1997	8	11	11	11
574640	1997-08-04 00:00:00	1997	1997	8	11	11	11
574640	1997-08-05 00:00:00	1997	1997	8	11	11	11
574640	1997-08-06 00:00:00	1997	1997	8	10	10	10
574640	1997-08-07 00:00:00	1997	1997	8	10	10	10
574640	1997-08-08 00:00:00	1997	1997	8	10	10	10
574640	1997-08-09 00:00:00	1997	1997	8	9	9	9
574640	1997-08-10 00:00:00	1997	1997	8	9	9	9
574640	1997-08-11 00:00:00	1997	1997	8	9	9	9
574640	1997-08-12 00:00:00	1997	1997	8	8	8	8
574640	1997-08-13 00:00:00	1997	1997	8	8	8	8
574640	1997-08-14 00:00:00	1997	1997	8	8	8	8
574640	1997-08-15 00:00:00	1997	1997	8	7	7	7
574640	1997-08-16 00:00:00	1997	1997	8	7	7	7
574640	1997-08-17 00:00:00	1997	1997	8	7	7	7
574640	1997-08-18 00:00:00	1997	1997	8	7	7	7
574640	1997-08-19 00:00:00	1997	1997	8	6	6	6
574640	1997-08-20 00:00:00	1997	1997	8	6	6	6
574640	1997-08-21 00:00:00	1997	1997	8	6	6	6
574640	1997-08-22 00:00:00	1997	1997	8	5	5	5
574640	1997-08-23 00:00:00	1997	1997	8	5	5	5
574640	1997-08-24 00:00:00	1997	1997	8	5	5	5
574640	1997-08-25 00:00:00	1997	1997	8	6	6	6
574640	1997-08-26 00:00:00	1997	1997	8	6	6	6
574640	1997-08-27 00:00:00	1997	1997	8	6	6	6
574640	1997-08-28 00:00:00	1997	1997	8	7	7	7
574640	1997-08-29 00:00:00	1997	1997	8	7	7	7
574640	1997-08-30 00:00:00	1997	1997	8	7	7	7
574640	1997-08-31 00:00:00	1997	1997	8	7	7	7
574640	1997-09-01 00:00:00	1997	1997	9	5	5	5
574640	1997-09-02 00:00:00	1997	1997	9	5	5	5
574640	1997-09-03 00:00:00	1997	1997	9	5	5	5
574640	1997-09-04 00:00:00	1997	1997	9	4	4	4
574640	1997-09-05 00:00:00	1997	1997	9	4	4	4
574640	1997-09-06 00:00:00	1997	1997	9	4	4	4
574640	1997-09-07 00:00:00	1997	1997	9	4	4	4
574640	1997-09-08 00:00:00	1997	1997	9	4	4	4
574640	1997-09-09 00:00:00	1997	1997	9	4	4	4
574640	1997-09-10 00:00:00	1997	1997	9	4	4	4
574640	1997-09-11 00:00:00	1997	1997	9	4	4	4
574640	1997-09-12 00:00:00	1997	1997	9	4	4	4
574640	1997-09-13 00:00:00	1997	1997	9	4	4	4
574640	1997-09-14 00:00:00	1997	1997	9	4	4	4
574640	1997-09-15 00:00:00	1997	1997	9	4	4	4
574640	1997-09-16 00:00:00	1997	1997	9	4	4	4
574640	1997-09-17 00:00:00	1997	1997	9	4	4	4
574640	1997-09-18 00:00:00	1997	1997	9	4	4	4
574640	1997-09-19 00:00:00	1997	1997	9	4	4	4
574640	1997-09-20 00:00:00	1997	1997	9	4	4	4
574640	1997-09-21 00:00:00	1997	1997	9	4	4	4
574640	1997-09-22 00:00:00	1997	1997	9	4	4	4
574640	1997-09-23 00:00:00	1997	1997	9	4	4	4
574640	1997-09-24 00:00:00	1997	1997	9	4	4	4
574640	1997-09-25 00:00:00	1997	1997	9	4	4	4
574640	1997-09-26 00:00:00	1997	1997	9	4	4	4
574640	1997-09-27 00:00:00	1997	1997	9	3	3	3
574640	1997-09-28 00:00:00	1997	1997	9	3	3	3
574640	1997-09-29 00:00:00	1997	1997	9	3	3	3
574640	1997-09-30 00:00:00	1997	1997	9	3	3	3
574640	1997-10-01 00:00:00	1997	1997	10	3	3	3
574640	1997-10-02 00:00:00	1997	1997	10	3	3	3
574640	1997-10-03 00:00:00	1997	1997	10	3	3	3
574640	1997-10-04 00:00:00	1997	1997	10	3	3	3
574640	1997-10-05 00:00:00	1997	1997	10	3	3	3
574640	1997-10-06 00:00:00	1997	1997	10	3	3	3
574640	1997-10-07 00:00:00	1997	1997	10	4	4	4
574640	1997-10-08 00:00:00	1997	1997	10	4	4	4
574640	1997-10-09 00:00:00	1997	1997	10	4	4	4
574640	1997-10-10 00:00:00	1997	1997	10	4	4	4
574640	1997-10-11 00:00:00	1997	1997	10	5	5	5
574640	1997-10-12 00:00:00	1997	1997	10	5	5	5
574640	1997-10-13 00:00:00	1997	1997	10	5	5	5
574640	1997-10-14 00:00:00	1997	1997	10	5	5	5
574640	1997-10-15 00:00:00	1997	1997	10	5	5	5
574640	1997-10-16 00:00:00	1997	1997	10	5	5	5
574640	1997-10-17 00:00:00	1997	1997	10	6	6	6
574640	1997-10-18 00:00:00	1997	1997	10	6	6	6
574640	1997-10-19 00:00:00	1997	1997	10	6	6	6
574640	1997-10-20 00:00:00	1997	1997	10	6	6	6
574640	1997-10-21 00:00:00	1997	1997	10	6	6	6
574640	1997-10-22 00:00:00	1997	1997	10	5	5	5
574640	1997-10-23 00:00:00	1997	1997	10	5	5	5
574640	1997-10-24 00:00:00	1997	1997	10	5	5	5
574640	1997-10-25 00:00:00	1997	1997	10	5	5	5
574640	1997-10-26 00:00:00	1997	1997	10	5	5	5
574640	1997-10-27 00:00:00	1997	1997	10	5	5	5
574640	1997-10-28 00:00:00	1997	1997	10	5	5	5
574640	1997-10-29 00:00:00	1997	1997	10	5	5	5
574640	1997-10-30 00:00:00	1997	1997	10	5	5	5
574640	1997-10-31 00:00:00	1997	1997	10	5	5	5
574640	1997-11-01 00:00:00	1997	1998	11	5	5	5
574640	1997-11-02 00:00:00	1997	1998	11	4	4	4
574640	1997-11-03 00:00:00	1997	1998	11	4	4	4
574640	1997-11-04 00:00:00	1997	1998	11	4	4	4
574640	1997-11-05 00:00:00	1997	1998	11	4	4	4
574640	1997-11-06 00:00:00	1997	1998	11	4	4	4
574640	1997-11-07 00:00:00	1997	1998	11	4	4	4
574640	1997-11-08 00:00:00	1997	1998	11	4	4	4
574640	1997-11-09 00:00:00	1997	1998	11	4	4	4
574640	1997-11-10 00:00:00	1997	1998	11	4	4	4
574640	1997-11-11 00:00:00	1997	1998	11	6	6	6
574640	1997-11-12 00:00:00	1997	1998	11	6	6	6
574640	1997-11-13 00:00:00	1997	1998	11	8	8	8
574640	1997-11-14 00:00:00	1997	1998	11	8	8	8
574640	1997-11-15 00:00:00	1997	1998	11	8	8	8
574640	1997-11-16 00:00:00	1997	1998	11	9	9	9
574640	1997-11-17 00:00:00	1997	1998	11	9	9	9
574640	1997-11-18 00:00:00	1997	1998	11	8	8	8
574640	1997-11-19 00:00:00	1997	1998	11	8	8	8
574640	1997-11-20 00:00:00	1997	1998	11	8	8	8
574640	1997-11-21 00:00:00	1997	1998	11	8	8	8
574640	1997-11-22 00:00:00	1997	1998	11	8	8	8
574640	1997-11-23 00:00:00	1997	1998	11	8	8	8
574640	1997-11-24 00:00:00	1997	1998	11	8	8	8
574640	1997-11-25 00:00:00	1997	1998	11	8	8	8
574640	1997-11-26 00:00:00	1997	1998	11	7	7	7
574640	1997-11-27 00:00:00	1997	1998	11	7	7	7
574640	1997-11-28 00:00:00	1997	1998	11	7	7	7
574640	1997-11-29 00:00:00	1997	1998	11	7	7	7
574640	1997-11-30 00:00:00	1997	1998	11	7	7	7
574640	1997-12-01 00:00:00	1997	1998	12	8	8	8
574640	1997-12-02 00:00:00	1997	1998	12	8	8	8
574640	1997-12-03 00:00:00	1997	1998	12	8	8	8
574640	1997-12-04 00:00:00	1997	1998	12	8	8	8
574640	1997-12-05 00:00:00	1997	1998	12	8	8	8
574640	1997-12-06 00:00:00	1997	1998	12	8	8	8
574640	1997-12-07 00:00:00	1997	1998	12	8	8	8
574640	1997-12-08 00:00:00	1997	1998	12	8	8	8
574640	1997-12-09 00:00:00	1997	1998	12	8	8	8
574640	1997-12-10 00:00:00	1997	1998	12	8	8	8
574640	1997-12-11 00:00:00	1997	1998	12	28	28	28
574640	1997-12-12 00:00:00	1997	1998	12	35	35	35
574640	1997-12-13 00:00:00	1997	1998	12	45	45	45
574640	1997-12-14 00:00:00	1997	1998	12	32	32	32
574640	1997-12-15 00:00:00	1997	1998	12	28	28	28
574640	1997-12-16 00:00:00	1997	1998	12	25	25	25
574640	1997-12-17 00:00:00	1997	1998	12	23	23	23
574640	1997-12-18 00:00:00	1997	1998	12	23	23	23
574640	1997-12-19 00:00:00	1997	1998	12	21	21	21
574640	1997-12-20 00:00:00	1997	1998	12	20	20	20
574640	1997-12-21 00:00:00	1997	1998	12	19	19	19
574640	1997-12-22 00:00:00	1997	1998	12	18	18	18
574640	1997-12-23 00:00:00	1997	1998	12	18	18	18
574640	1997-12-24 00:00:00	1997	1998	12	19	19	19
574640	1997-12-25 00:00:00	1997	1998	12	19	19	19
574640	1997-12-26 00:00:00	1997	1998	12	24	24	24
574640	1997-12-27 00:00:00	1997	1998	12	33	33	33
574640	1997-12-28 00:00:00	1997	1998	12	34	34	34
574640	1997-12-29 00:00:00	1997	1998	12	32	32	32
574640	1997-12-30 00:00:00	1997	1998	12	32	32	32
574640	1997-12-31 00:00:00	1997	1998	12	30	30	30
574640	1998-01-01 00:00:00	1998	1998	1	27	27	27
574640	1998-01-02 00:00:00	1998	1998	1	26	26	26
574640	1998-01-03 00:00:00	1998	1998	1	25	25	25
574640	1998-01-04 00:00:00	1998	1998	1	26	26	26
574640	1998-01-05 00:00:00	1998	1998	1	25	25	25
574640	1998-01-06 00:00:00	1998	1998	1	25	25	25
574640	1998-01-07 00:00:00	1998	1998	1	25	25	25
574640	1998-01-08 00:00:00	1998	1998	1	24	24	24
574640	1998-01-09 00:00:00	1998	1998	1	24	24	24
574640	1998-01-10 00:00:00	1998	1998	1	24	24	24
574640	1998-01-11 00:00:00	1998	1998	1	23	23	23
574640	1998-01-12 00:00:00	1998	1998	1	23	23	23
574640	1998-01-13 00:00:00	1998	1998	1	22	22	22
574640	1998-01-14 00:00:00	1998	1998	1	22	22	22
574640	1998-01-15 00:00:00	1998	1998	1	21	21	21
574640	1998-01-16 00:00:00	1998	1998	1	19	19	19
574640	1998-01-17 00:00:00	1998	1998	1	19	19	19
574640	1998-01-18 00:00:00	1998	1998	1	17	17	17
574640	1998-01-19 00:00:00	1998	1998	1	17	17	17
574640	1998-01-20 00:00:00	1998	1998	1	16	16	16
574640	1998-01-21 00:00:00	1998	1998	1	16	16	16
574640	1998-01-22 00:00:00	1998	1998	1	16	16	16
574640	1998-01-23 00:00:00	1998	1998	1	15	15	15
574640	1998-01-24 00:00:00	1998	1998	1	15	15	15
574640	1998-01-25 00:00:00	1998	1998	1	14	14	14
574640	1998-01-26 00:00:00	1998	1998	1	14	14	14
574640	1998-01-27 00:00:00	1998	1998	1	14	14	14
574640	1998-01-28 00:00:00	1998	1998	1	13	13	13
574640	1998-01-29 00:00:00	1998	1998	1	13	13	13
574640	1998-01-30 00:00:00	1998	1998	1	12	12	12
574640	1998-01-31 00:00:00	1998	1998	1	12	12	12
574640	1998-02-01 00:00:00	1998	1998	2	12	12	12
574640	1998-02-02 00:00:00	1998	1998	2	12	12	12
574640	1998-02-03 00:00:00	1998	1998	2	12	12	12
574640	1998-02-04 00:00:00	1998	1998	2	12	12	12
574640	1998-02-05 00:00:00	1998	1998	2	10	10	10
574640	1998-02-06 00:00:00	1998	1998	2	10	10	10
